"T_ярк, K","T_терм, K","σ_T, K","I, A","σ_I, A","V, V","σ_V, V","W, W","σ_W, W"
1165,1208.0,11.9,0.512,0.001,1.53,0.01,0.783,0.005
1263,1312.4,12.3,0.621,0.001,2.48,0.01,1.54,0.007
1437,1497.6,13.1,0.631,0.001,2.59,0.01,1.634,0.007
1505,1570.0,13.4,0.653,0.001,2.82,0.01,1.841,0.007
1568,1637.1,13.7,0.697,0.001,3.23,0.01,2.251,0.008
1723,1802.2,14.5,0.801,0.001,4.34,0.01,3.476,0.009
1869,1957.6,15.2,0.855,0.001,4.97,0.01,4.249,0.01
1901,1991.7,15.4,0.875,0.001,5.21,0.01,4.559,0.01
1923,2015.1,15.5,0.906,0.001,5.58,0.01,5.055,0.011
2023,2121.6,16.1,0.966,0.001,6.33,0.01,6.115,0.012
2113,2217.5,16.5,1.003,0.001,6.82,0.01,6.84,0.012
2215,2326.1,17.1,1.062,0.001,7.63,0.01,8.103,0.013
